      Step     Time          Energy          fmax
BFGS:    0 03:42:03     -109.833188        0.652019
BFGS:    1 03:42:03     -109.851372        0.649442
BFGS:    2 03:42:03     -110.224262        0.593293
BFGS:    3 03:42:03     -110.563069        0.535819
BFGS:    4 03:42:03     -110.866844        0.476328
BFGS:    5 03:42:03     -111.134020        0.413646
BFGS:    6 03:42:03     -111.362433        0.347047
BFGS:    7 03:42:03     -111.549656        0.276352
BFGS:    8 03:42:03     -111.693249        0.201630
BFGS:    9 03:42:03     -111.790832        0.123007
BFGS:   10 03:42:04     -111.840105        0.040619
BFGS:   11 03:42:04     -111.845933        0.001368
BFGS:   12 03:42:04     -111.845939        0.000048
